"HumanGene","MouseGene","in_deseq2","in_tcga","in_mouse_pseudobulk","in_mouse_sn"
NA,"0610009B22Rik",0,0,1,0
NA,"0610009E02Rik",0,0,1,0
NA,"0610009L18Rik",0,0,1,0
NA,"0610012G03Rik",0,0,1,0
NA,"0610038B21Rik",0,0,1,0
NA,"0610040B10Rik",0,0,1,0
NA,"0610040F04Rik",0,0,1,0
NA,"0610043K17Rik",0,0,1,0
NA,"1110002L01Rik",0,0,1,1
NA,"1110015O18Rik",0,0,1,0
NA,"1110019D14Rik",0,0,1,1
NA,"1110020A21Rik",0,0,1,0
NA,"1110038B12Rik",0,0,1,0
NA,"1110046J04Rik",0,0,1,0
NA,"1110065P20Rik",0,0,1,0
NA,"1300002E11Rik",0,0,1,0
NA,"1300017J02Rik",0,0,1,0
NA,"1500004A13Rik",0,0,1,1
NA,"1500009C09Rik",0,0,1,0
NA,"1500009L16Rik",0,0,1,0
NA,"1500011B03Rik",0,0,1,0
NA,"1500015A07Rik",0,0,1,0
NA,"1500015L24Rik",0,0,1,0
NA,"1500026H17Rik",0,0,1,0
NA,"1500035N22Rik",0,0,1,0
NA,"1600002D24Rik",0,0,1,0
NA,"1600010M07Rik",0,0,1,0
NA,"1600020E01Rik",0,0,1,1
NA,"1700001K23Rik",0,0,1,0
NA,"1700001L05Rik",0,0,1,0
NA,"1700003F12Rik",0,0,1,0
NA,"1700008J07Rik",0,0,1,0
NA,"1700010K24Rik",0,0,1,0
NA,"1700012D14Rik",0,0,1,1
NA,"1700016P03Rik",0,0,1,0
NA,"1700017D01Rik",0,0,1,0
NA,"1700018A04Rik",0,0,1,0
NA,"1700019A02Rik",0,0,1,0
NA,"1700020D05Rik",0,0,1,0
NA,"1700023F06Rik",0,0,1,0
NA,"1700024B18Rik",0,0,1,0
NA,"1700025F24Rik",0,0,1,0
NA,"1700027A15Rik",0,0,1,0
NA,"1700028E10Rik",0,0,1,0
NA,"1700034H15Rik",0,0,1,0
NA,"1700034P13Rik",0,0,1,0
NA,"1700036A12Rik",0,0,1,0
NA,"1700041G16Rik",0,0,1,0
NA,"1700042O10Rik",0,0,1,0
NA,"1700047M11Rik",0,0,1,1
NA,"1700048O20Rik",0,0,1,0
NA,"1700052K11Rik",0,0,1,0
NA,"1700054A03Rik",0,0,1,0
NA,"1700056N10Rik",0,0,1,0
NA,"1700057H15Rik",0,0,1,0
NA,"1700063D05Rik",0,0,1,0
NA,"1700084C06Rik",0,0,1,0
NA,"1700085D07Rik",0,0,1,0
NA,"1700086O06Rik",0,0,1,0
NA,"1700086P04Rik",0,0,1,0
NA,"1700087I21Rik",0,0,1,0
NA,"1700093J21Rik",0,0,1,0
NA,"1700094M23Rik",0,0,1,0
NA,"1700096K18Rik",0,0,1,0
NA,"1700109H08Rik",0,0,1,1
NA,"1700110C19Rik",0,0,1,0
NA,"1700110K17Rik",0,0,1,0
NA,"1700111E14Rik",0,0,1,0
NA,"1700111N16Rik",0,0,1,0
NA,"1700112D23Rik",0,0,1,0
NA,"1700112H15Rik",0,0,1,0
NA,"1700113A16Rik",0,0,1,0
NA,"1700120C14Rik",0,0,1,0
NA,"1700120G11Rik",0,0,1,0
NA,"1700121C08Rik",0,0,1,0
NA,"1700121L16Rik",0,0,1,0
NA,"1700123M08Rik",0,0,1,0
NA,"1700126G02Rik",0,0,1,0
NA,"1810019N24Rik",0,0,1,0
NA,"1810021B22Rik",0,0,1,0
NA,"1810024B03Rik",0,0,1,0
NA,"1810026B05Rik",0,0,1,1
NA,"1810034E14Rik",0,0,1,0
NA,"1810037I17Rik",0,0,1,0
NA,"1810058I24Rik",0,0,1,0
NA,"1810059H22Rik",0,0,1,0
NA,"1810062O18Rik",0,0,1,0
NA,"2010001A14Rik",0,0,1,0
NA,"2010001K21Rik",0,0,1,0
NA,"2010013B24Rik",0,0,1,0
NA,"2010109A12Rik",0,0,1,0
NA,"2010110K18Rik",0,0,1,0
NA,"2010315B03Rik",0,0,1,1
NA,"2010320M18Rik",0,0,1,0
NA,"2010320O07Rik",0,0,1,0
NA,"2210408F21Rik",0,0,1,1
NA,"2310001H17Rik",0,0,1,0
NA,"2310002F09Rik",0,0,1,1
NA,"2310009A05Rik",0,0,1,0
NA,"2310010J17Rik",0,0,1,0
NA,"2310014F06Rik",0,0,1,0
NA,"2310015A10Rik",0,0,1,0
NA,"2310039H08Rik",0,0,1,0
NA,"2310040G24Rik",0,0,1,0
NA,"2310058D17Rik",0,0,1,0
NA,"2310068J16Rik",0,0,1,0
NA,"2410002F23Rik",0,0,1,1
NA,"2410006H16Rik",0,0,1,1
NA,"2410022M11Rik",0,0,1,0
NA,"2500002B13Rik",0,0,1,0
NA,"2500004C02Rik",0,0,1,0
NA,"2510002D24Rik",0,0,1,0
NA,"2510017J16Rik",0,0,1,0
NA,"2600014E21Rik",0,0,1,0
NA,"2610001J05Rik",0,0,1,0
NA,"2610002M06Rik",0,0,1,0
NA,"2610008E11Rik",0,0,1,1
NA,"2610020C07Rik",0,0,1,1
NA,"2610021A01Rik",0,0,1,0
NA,"2610027K06Rik",0,0,1,0
NA,"2610035D17Rik",0,0,1,1
NA,"2610035F20Rik",0,0,1,0
NA,"2610037D02Rik",0,0,1,1
NA,"2610044O15Rik8",0,0,1,0
NA,"2610203C22Rik",0,0,1,0
NA,"2610206C17Rik",0,0,1,0
NA,"2610306M01Rik",0,0,1,0
NA,"2610307P16Rik",0,0,1,0
NA,"2610316D01Rik",0,0,1,1
NA,"2610318N02Rik",0,0,1,0
NA,"2610507I01Rik",0,0,1,0
NA,"2700038G22Rik",0,0,1,0
NA,"2700046G09Rik",0,0,1,0
NA,"2700054A10Rik",0,0,1,1
NA,"2700069I18Rik",0,0,1,0
NA,"2700097O09Rik",0,0,1,1
NA,"2810001G20Rik",0,0,1,0
NA,"2810002D19Rik",0,0,1,0
NA,"2810013P06Rik",0,0,1,0
NA,"2810021J22Rik",0,0,1,0
NA,"2810029C07Rik",0,0,1,0
NA,"2810032G03Rik",0,0,1,0
NA,"2810049E08Rik",0,0,1,0
NA,"2810402E24Rik",0,0,1,0
NA,"2810403D21Rik",0,0,1,1
NA,"2810405F17Rik",0,0,1,0
NA,"2810407A14Rik",0,0,1,0
NA,"2810410L24Rik",0,0,1,1
NA,"2810429I04Rik",0,0,1,0
NA,"2810432F15Rik",0,0,1,0
NA,"2810433D01Rik",0,0,1,0
NA,"2810454H06Rik",0,0,1,0
NA,"2810455O05Rik",0,0,1,0
NA,"2810468N07Rik",0,0,1,1
NA,"2900005J15Rik",0,0,1,0
NA,"2900009J06Rik",0,0,1,0
NA,"2900026A02Rik",0,0,1,0
NA,"2900052L18Rik",0,0,1,0
NA,"2900052N01Rik",0,0,1,0
NA,"2900060B14Rik",0,0,1,0
NA,"2900060N12Rik",0,0,1,0
NA,"2900076A07Rik",0,0,1,0
NA,"2900079G21Rik",0,0,1,0
NA,"2900089D17Rik",0,0,1,0
NA,"2900093K20Rik",0,0,1,0
NA,"2900097C17Rik",0,0,1,1
NA,"3010001F23Rik",0,0,1,0
NA,"3110001I22Rik",0,0,1,0
NA,"3110021N24Rik",0,0,1,0
NA,"3110039M20Rik",0,0,1,0
NA,"3110056K07Rik",0,0,1,1
NA,"3110082J24Rik",0,0,1,0
NA,"3110083C13Rik",0,0,1,0
NA,"3222401L13Rik",0,0,1,0
NA,"3300002A11Rik",0,0,1,0
NA,"3300002I08Rik",0,0,1,1
NA,"3300005D01Rik",0,0,1,0
NA,"3830403N18Rik",0,0,1,0
NA,"3830408C21Rik",0,0,1,0
NA,"4430402I18Rik",0,0,1,0
NA,"4632404H12Rik",0,0,1,0
NA,"4632427E13Rik",0,0,1,1
NA,"4632428C04Rik",0,0,1,0
NA,"4732419C18Rik",0,0,1,0
NA,"4732440D04Rik",0,0,1,0
NA,"4732463B04Rik",0,0,1,0
NA,"4732471J01Rik",0,0,1,1
NA,"4732491K20Rik",0,0,1,0
NA,"4833411C07Rik",0,0,1,0
NA,"4833413G10Rik",0,0,1,0
NA,"4833418N02Rik",0,0,1,0
NA,"4833422C13Rik",0,0,1,0
NA,"4833438C02Rik",0,0,1,0
NA,"4921504A21Rik",0,0,1,0
NA,"4921511C10Rik",0,0,1,0
NA,"4921515E04Rik",0,0,1,0
NA,"4921531C22Rik",0,0,1,0
NA,"4921539H07Rik",0,0,1,0
NA,"4930405A21Rik",0,0,1,0
NA,"4930408O17Rik",0,0,1,0
NA,"4930412C18Rik",0,0,1,0
NA,"4930414N06Rik",0,0,1,0
NA,"4930415C11Rik",0,0,1,0
NA,"4930417H01Rik",0,0,1,0
NA,"4930417O13Rik",0,0,1,0
NA,"4930419G24Rik",0,0,1,0
NA,"4930420G21Rik",0,0,1,1
NA,"4930426I24Rik",0,0,1,0
NA,"4930428N03Rik",0,0,1,0
NA,"4930430E12Rik",0,0,1,0
NA,"4930432B10Rik",0,0,1,0
NA,"4930444A19Rik",0,0,1,0
NA,"4930445B16Rik",0,0,1,0
NA,"4930447A16Rik",0,0,1,0
NA,"4930447K03Rik",0,0,1,0
NA,"4930452G13Rik",0,0,1,0
NA,"4930455C13Rik",0,0,1,0
NA,"4930455G09Rik",0,0,1,0
NA,"4930469K13Rik",0,0,1,0
NA,"4930471E19Rik",0,0,1,0
NA,"4930473A02Rik",0,0,1,0
NA,"4930479D17Rik",0,0,1,0
NA,"4930481A15Rik",0,0,1,0
NA,"4930488L21Rik",0,0,1,1
NA,"4930505N22Rik",0,0,1,0
NA,"4930506C21Rik",0,0,1,0
NA,"4930509H03Rik",0,0,1,0
NA,"4930509J09Rik",0,0,1,0
NA,"4930511M06Rik",0,0,1,0
